client_id,days_since_activation,inactive_days,creation_date,mambu_state,first_transaction_date,last_transaction_date,total_loan_amount,total_inflow_amt,total_outflow_amt,total_billpayment_amt,total_savings_amt,ltv_credit,ltv_credit_no_risk,ltv_nocredit,ltv
5H5GKU,1288,1274,2022-07-07 21:17:53,ACTIVE,2022-07-21,2022-07-21,0.0,200.0000000000,0E-10,200.0000000000,0E-10,0.0,0.0,25.99,25.99
44DM1S,3410,2922,2016-09-14 13:17:55,INACTIVE,2018-01-15,2018-01-15,230000.0,True,True,True,True,8452.17,105515.25,0.0,8452.17
858TZI,262,262,2025-04-28 00:00:00,ACTIVE,2025-04-28,2025-04-28,0.0,5000.0000000000,5000.0000000000,0E-10,0E-10,0.0,0.0,108.29,108.29
2EAXAA,2507,1858,2019-03-06 00:00:00,INACTIVE,2019-03-06,2020-12-14,1250000.0,True,True,True,True,724712.19,1144540.67,0.0,724712.19
3JAUK3,674,659,2024-03-12 00:00:00,ACTIVE,2024-03-12,2024-03-27,0.0,2000.0000000000,2000.0000000000,0E-10,1000.0000000000,0.0,0.0,70.39,70.39
CT8TM5,71,64,2025-11-05 00:00:00,ACTIVE,2025-11-05,2025-11-12,0.0,100.0000000000,0E-10,100.0000000000,0E-10,0.0,0.0,12.99,12.99
DL0PHG,3079,1213,2017-08-11 00:14:20,ACTIVE,2022-09-20,2022-09-20,0.0,1000.0000000000,0E-10,0E-10,0E-10,0.0,0.0,21.66,21.66
2QX0UR,773,771,2023-12-04 00:00:00,ACTIVE,2023-12-04,2023-12-06,0.0,17600.0000000000,16800.0000000000,800.0000000000,0E-10,0.0,0.0,467.8,467.8
6KX6U8,2205,403,2020-01-02 15:41:10,ACTIVE,2020-08-07,2024-12-08,0.0,2691828.2000000000,2739894.8000000000,0E-10,2222087.6200000000,0.0,0.0,2242.02,2242.02
ANYMY7,2516,2515,2019-02-25 13:09:32,EXITED,2019-02-26,2019-02-26,200000.0,True,True,True,True,352638.81,433768.31,0.0,352638.81
5053XT,2469,1211,2019-04-13 14:23:59,ACTIVE,2022-09-22,2022-09-22,0.0,150.0000000000,0E-10,155.0000000000,0E-10,0.0,0.0,20.03,20.03
81M0BI,1309,1286,2022-06-16 17:49:57,ACTIVE,2022-07-09,2022-07-09,0.0,200.0000000000,0E-10,0E-10,0E-10,0.0,0.0,4.33,4.33
AFVU9D,2206,52,2020-01-01 02:16:20,ACTIVE,2025-03-03,2025-11-24,0.0,800.0000000000,810.7500000000,0E-10,0E-10,0.0,0.0,1.95,1.95
A4JY9R,1267,1264,2022-07-28 08:20:14,ACTIVE,2022-07-31,2022-07-31,0.0,200.0000000000,100.0000000000,600.0000000000,0E-10,0.0,0.0,69.3,69.3
D1HDAJ,2763,2754,2018-06-23 21:33:55,INACTIVE,2018-07-02,2018-07-02,300000.0,True,True,True,True,20356.31,139164.07,0.0,20356.31
98TUFR,2325,2190,2019-09-04 11:05:20,EXITED,2019-09-16,2020-01-17,680000.0,True,True,True,True,464823.3,739942.48,0.0,464823.3
7LYELS,704,687,2024-02-11 07:26:20,ACTIVE,2024-02-23,2024-02-28,0.0,300.0000000000,200.0000000000,100.0000000000,0E-10,0.0,0.0,17.33,17.33
3LUI5R,2345,2173,2019-08-15 17:05:56,INACTIVE,2019-08-19,2020-02-03,600000.36,True,True,True,True,65181.41,282996.67,0.0,65181.41
1I0PWD,2135,955,2020-03-12 23:32:11,ACTIVE,2023-01-20,2023-06-05,0.0,2169300.0000000000,2170076.0000000000,32000.0000000000,0E-10,0.0,0.0,11046.81,11046.81
EJVWGT,643,522,2024-04-12 19:21:30,ACTIVE,2024-06-26,2024-08-11,12400.0,19352.8100000000,11624.0000000000,400.0000000000,0E-10,3965.31,5883.35,295.19,4260.5
3GIAT2,45,42,2025-12-01 22:19:13,ACTIVE,2025-12-02,2025-12-04,0.0,2000.0000000000,1005.2500000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
22WTSI,49,48,2025-11-27 23:58:41,ACTIVE,2025-11-28,2025-11-28,0.0,2000.0000000000,1000.0000000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
8TD3MX,2690,2274,2018-09-04 12:05:03,EXITED,2018-09-12,2019-10-25,420000.0,True,True,True,True,362639.18,528211.58,0.0,362639.18
YL2ZZI,1494,465,2021-12-13 08:54:17,ACTIVE,2024-10-07,2024-10-07,0.0,1000.0000000000,1000.0000000000,0E-10,0E-10,0.0,0.0,21.66,21.66
899G9J,991,986,2023-04-30 00:00:00,ACTIVE,2023-04-30,2023-05-05,0.0,6000.0000000000,6000.0000000000,0E-10,3000.0000000000,0.0,0.0,211.16,211.16
4EFKBJ,1291,1291,2022-07-04 00:00:00,ACTIVE,2022-07-04,2022-07-04,0.0,100.0000000000,0E-10,0E-10,0E-10,0.0,0.0,2.17,2.17
CHU0EP,2179,1940,2020-01-28 10:19:05,INACTIVE,2020-09-23,2020-09-23,300000.0,True,True,True,True,114253.92,207990.32,0.0,114253.92
BKX1G5,129,121,2025-09-08 00:00:00,ACTIVE,2025-09-08,2025-09-16,0.0,15000.0000000000,14875.2500000000,0E-10,0E-10,0.0,0.0,324.86,324.86
VG741S,101,99,2025-10-06 00:00:00,ACTIVE,2025-10-06,2025-10-08,0.0,4000.0000000000,3521.5000000000,0E-10,0E-10,0.0,0.0,86.63,86.63
EISN28,75,75,2025-11-01 00:00:00,ACTIVE,2025-11-01,2025-11-01,0.0,1000.0000000000,510.7500000000,0E-10,0E-10,0.0,0.0,21.66,21.66
12KCFQ,283,183,2025-04-07 00:00:00,ACTIVE,2025-04-07,2025-07-16,0.0,13130.0000000000,12553.7500000000,500.0000000000,0E-10,0.0,0.0,100.55,100.55
6RWKOB,1126,926,2022-12-16 00:21:47,ACTIVE,2023-04-14,2023-07-04,100000.0,96950.0000000000,96674.1200000000,200.0000000000,0E-10,17099.08,39117.51,776.11,17875.19
64FQXY,2174,883,2020-02-02 14:02:21,ACTIVE,2023-05-20,2023-08-16,0.0,29610.0000000000,27350.0000000000,2000.0000000000,3100.0000000000,0.0,0.0,317.46,317.46
AYKMPY,49,48,2025-11-27 00:00:00,ACTIVE,2025-11-27,2025-11-28,0.0,2000.0000000000,999.7500000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
D8R2WD,1490,5,2021-12-17 12:28:35,ACTIVE,2021-12-18,2026-01-10,0.0,20402.0000000000,20304.0900000000,100.0000000000,202.0900000000,0.0,0.0,9.26,9.26
N04MKH,2481,2480,2019-04-01 09:15:26,INACTIVE,2019-04-02,2019-04-02,1000000.0,True,True,True,True,18905.43,374524.53,0.0,18905.43
B55N4Y,2236,2233,2019-12-02 11:40:06,INACTIVE,2019-12-05,2019-12-05,2000000.0,True,True,True,True,1566024.72,2248732.82,0.0,1566024.72
4RHONK,68,51,2025-11-08 21:33:46,ACTIVE,2025-11-18,2025-11-25,0.0,59340.0000000000,58231.1500000000,950.0000000000,0E-10,0.0,0.0,1388.02,1388.02
CGFIX8,70,64,2025-11-06 15:20:28,ACTIVE,2025-11-12,2025-11-12,0.0,3050.0000000000,2971.5000000000,1400.0000000000,0E-10,0.0,0.0,217.66,217.66
7M1JOA,2526,1431,2019-02-15 08:56:20,INACTIVE,2022-02-14,2022-02-14,700000.0,True,True,True,True,10825.24,179076.65,0.0,10825.24
9Z3TE7,2340,2172,2019-08-20 00:00:00,INACTIVE,2019-08-20,2020-02-04,1870000.0,True,True,True,True,827045.66,1331411.6,0.0,827045.66
4YLB4D,2021,437,2020-07-04 08:44:16,ACTIVE,2024-05-31,2024-11-04,327204.0,679204.0000000000,426272.3000000000,2300.0000000000,0E-10,231315.11,313003.68,2840.31,234155.42
VPWV5R,2349,106,2019-08-11 12:11:26,ACTIVE,2025-10-01,2025-10-01,0.0,500.0000000000,460.7500000000,0E-10,0E-10,0.0,0.0,10.83,10.83
8S5T5X,2241,622,2019-11-27 14:13:27,ACTIVE,2019-11-28,2024-05-03,8498000.0,163603.7900000000,140528.6200000000,0E-10,0E-10,3806009.56,4296031.31,65.66,3806075.22
F0E2X9,1237,1162,2022-08-27 00:00:00,ACTIVE,2022-08-27,2022-11-10,40000.0,52000.0000000000,51935.0000000000,0E-10,0E-10,1278.26,7688.42,444.55,1722.81
EMEUQI,49,48,2025-11-27 16:10:55,ACTIVE,2025-11-28,2025-11-28,0.0,2000.0000000000,999.7500000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
F12JQA,2696,2695,2018-08-29 10:44:47,INACTIVE,2018-08-30,2018-08-30,120000.0,True,True,True,True,177451.79,229183.64,0.0,177451.79
4JP9KT,2697,27,2018-08-28 12:26:51,ACTIVE,2021-03-16,2025-12-19,90700.0,199820.0000000000,192534.0600000000,1700.0000000000,0E-10,7993.93,29781.9,77.79,8071.72
9PZZ8U,876,876,2023-08-23 00:00:00,ACTIVE,2023-08-23,2023-08-23,11472.0,11472.0000000000,11415.3200000000,0E-10,0E-10,-231.09,1612.98,248.45,17.36
CU9WFA,1655,952,2021-07-05 15:50:19,ACTIVE,2023-04-22,2023-06-08,0.0,104007.2700000000,98750.1000000000,5500.0000000000,26000.1000000000,0.0,0.0,2219.97,2219.97
CTZ3HM,1438,1310,2022-02-07 12:58:20,INACTIVE,2022-02-15,2022-06-15,1800000.0,True,True,True,True,177831.23,791436.44,0.0,177831.23
37WJHW,41,20,2025-12-05 00:00:00,ACTIVE,2025-12-05,2025-12-26,0.0,3100.0000000000,2082.2500000000,1000.0000000000,0E-10,0.0,0.0,175.42,175.42
5QD95I,49,49,2025-11-27 00:00:00,ACTIVE,2025-11-27,2025-11-27,0.0,3000.0000000000,1999.7500000000,1000.0000000000,0E-10,0.0,0.0,173.26,173.26
2HP1QH,1711,1711,2021-05-10 00:00:00,ACTIVE,2021-05-10,2021-05-10,0.0,0E-10,0E-10,0E-10,277.0000000000,0.0,0.0,7.5,7.5
930XHO,999,996,2023-04-22 10:47:38,ACTIVE,2023-04-25,2023-04-25,0.0,500.0000000000,0E-10,0E-10,0E-10,0.0,0.0,10.83,10.83
F024UW,2544,2543,2019-01-28 08:45:06,EXITED,2019-01-29,2019-01-29,250000.0,True,True,True,True,185703.51,252610.23,0.0,185703.51
19FSPM,1168,1156,2022-11-04 11:16:22,ACTIVE,2022-11-16,2022-11-16,0.0,2000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,0.0,0.0,178.67,178.67
UJ1LV0,422,393,2024-11-19 00:00:00,ACTIVE,2024-11-19,2024-12-18,0.0,51500.0000000000,47700.0000000000,3700.0000000000,0E-10,0.0,0.0,1516.01,1516.01
3AR5M4,2232,2231,2019-12-06 10:38:38,INACTIVE,2019-12-07,2019-12-07,600000.0,True,True,True,True,116473.95,298770.55,0.0,116473.95
BA7V75,1633,2,2021-07-27 15:18:25,ACTIVE,2025-08-13,2026-01-13,0.0,165534557.7800000000,165533013.7800000000,0E-10,99888720.0000000000,0.0,0.0,1225173.55,1225173.55
CF4HIP,971,477,2023-05-20 12:03:44,ACTIVE,2023-05-21,2024-09-25,205000.0,283855.1100000000,211188.2200000000,1000.0000000000,0E-10,11109.58,48959.85,379.91,11489.49
3S3P6T,2501,1003,2019-03-12 13:02:01,INACTIVE,2023-04-18,2023-04-18,100000.0,True,True,True,True,20871.27,41128.88,0.0,20871.27
802JXG,2522,2521,2019-02-19 13:32:56,EXITED,2019-02-20,2019-02-20,150000.0,True,True,True,True,307224.62,362788.4,0.0,307224.62
5X9UYQ,2912,1597,2018-01-25 18:03:02,ACTIVE,2021-09-01,2021-09-01,0.0,100.0000000000,100.0000000000,0E-10,0E-10,0.0,0.0,2.17,2.17
CILESU,2725,2724,2018-07-31 12:57:57,EXITED,2018-08-01,2018-08-01,120000.0,True,True,True,True,149779.26,191641.07,0.0,149779.26
8XZ66D,1596,1186,2021-09-02 13:02:02,ACTIVE,2022-10-13,2022-10-17,0.0,11764.0000000000,11714.0000000000,0E-10,11764.0000000000,0.0,0.0,573.25,573.25
4ZTD9S,232,171,2025-05-28 19:41:28,ACTIVE,2025-06-07,2025-07-28,0.0,820.0000000000,721.5000000000,0E-10,0E-10,0.0,0.0,10.25,10.25
E5GFM0,2422,2386,2019-05-30 16:08:00,INACTIVE,2019-07-05,2019-07-05,100000.0,True,True,True,True,220669.54,260610.79,0.0,220669.54
3AN5WU,48,48,2025-11-28 00:00:00,ACTIVE,2025-11-28,2025-11-28,0.0,2000.0000000000,999.7500000000,3000.0000000000,0E-10,0.0,0.0,368.17,368.17
CCMNWY,384,313,2024-12-27 00:00:00,ACTIVE,2024-12-27,2025-03-08,0.0,300.0000000000,280.0000000000,0E-10,0E-10,0.0,0.0,2.71,2.71
72R1NA,1865,1326,2020-12-07 09:30:28,ACTIVE,2022-01-13,2022-05-30,0.0,94044.5000000000,94059.4400000000,0E-10,58325.3300000000,0.0,0.0,786.02,786.02
DEQI7M,48,47,2025-11-28 23:32:39,ACTIVE,2025-11-29,2025-11-29,0.0,2000.0000000000,1000.0000000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
7S14DW,3003,2998,2017-10-26 10:21:00,EXITED,2017-10-31,2017-10-31,250000.0,True,True,True,True,543213.05,647869.48,0.0,543213.05
6MHFJA,512,37,2024-08-21 00:00:00,ACTIVE,2024-08-21,2025-12-09,0.0,463106.9100000000,460226.2300000000,2300.0000000000,118197.0300000000,0.0,0.0,849.49,849.49
CLL6WX,2685,2676,2018-09-09 23:21:59,INACTIVE,2018-09-18,2018-09-18,50000.0,True,True,True,True,19344.62,32518.36,0.0,19344.62
E2H457,1117,1109,2022-12-25 06:39:04,ACTIVE,2023-01-02,2023-01-02,0.0,5000.0000000000,5000.0000000000,0E-10,0E-10,0.0,0.0,108.29,108.29
AU4RRM,262,106,2025-04-28 00:00:00,ACTIVE,2025-04-28,2025-10-01,0.0,14750.0000000000,14486.0000000000,200.0000000000,0E-10,0.0,0.0,65.18,65.18
CX6DX0,72,39,2025-11-04 12:46:04,ACTIVE,2025-11-06,2025-12-07,0.0,80000.0000000000,78381.0300000000,1500.0000000000,0E-10,0.0,0.0,1776.69,1776.69
AA9XQU,4657,4657,2013-04-16 00:00:00,INACTIVE,2013-04-16,2013-04-16,104650.0,True,True,True,True,142588.59,155486.31,0.0,142588.59
O29EBV,3283,2282,2017-01-19 13:09:52,INACTIVE,2017-01-20,2019-10-17,300000.0,True,True,True,True,39490.75,152561.24,0.0,39490.75
Z47LC5,39,39,2025-12-07 00:00:00,ACTIVE,2025-12-07,2025-12-07,0.0,2000.0000000000,999.7500000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
3W3YIJ,89,86,2025-10-18 00:00:00,ACTIVE,2025-10-18,2025-10-21,0.0,2500.0000000000,2432.2500000000,0E-10,0E-10,0.0,0.0,54.14,54.14
3ZAZGA,610,410,2024-05-15 11:46:27,ACTIVE,2024-05-19,2024-12-01,0.0,102533.0000000000,101700.0000000000,700.0000000000,0E-10,0.0,0.0,349.71,349.71
55OCR4,982,767,2023-05-09 00:00:00,ACTIVE,2023-05-09,2023-12-10,0.0,26000.0000000000,25900.0000000000,0E-10,0E-10,0.0,0.0,78.21,78.21
DJXYOP,3018,2746,2017-10-11 09:46:26,INACTIVE,2017-10-13,2018-07-10,280000.0,True,True,True,True,10522.27,104172.51,0.0,10522.27
15NQLI,3082,3082,2017-08-08 00:00:00,EXITED,2017-08-08,2017-08-08,190000.0,True,True,True,True,471177.8,532989.43,0.0,471177.8
ALKX44,337,336,2025-02-12 00:00:00,ACTIVE,2025-02-12,2025-02-13,0.0,100.0000000000,0E-10,700.0000000000,0E-10,0.0,0.0,77.97,77.97
CQDR6F,251,251,2025-05-09 00:00:00,ACTIVE,2025-05-09,2025-05-09,0.0,500.0000000000,500.0000000000,0E-10,0E-10,0.0,0.0,10.83,10.83
E9LYXI,447,447,2024-10-25 00:00:00,ACTIVE,2024-10-25,2024-10-25,0.0,10.0000000000,0E-10,0E-10,0E-10,0.0,0.0,0.22,0.22
B9AIRO,2768,2765,2018-06-18 13:37:56,EXITED,2018-06-21,2018-06-21,125000.0,True,True,True,True,101729.0,143440.08,0.0,101729.0
F1K6PK,1702,1659,2021-05-19 08:04:52,ACTIVE,2021-05-20,2021-07-01,20000.0,28200.0000000000,28200.0000000000,0E-10,0E-10,1315.99,5557.69,426.1,1742.09
63J98X,2628,2628,2018-11-05 00:00:00,EXITED,2018-11-05,2018-11-05,150000.0,True,True,True,True,54993.15,102871.11,0.0,54993.15
2QCDHL,110,86,2025-09-27 00:00:00,ACTIVE,2025-09-27,2025-10-21,0.0,4000.0000000000,3532.2500000000,0E-10,0E-10,0.0,0.0,86.63,86.63
CXZLFE,1348,1345,2022-05-08 08:06:56,INACTIVE,2022-05-11,2022-05-11,1100000.0,True,True,True,True,42326.58,321456.01,0.0,42326.58
BJXWSY,2210,1291,2019-12-28 14:54:51,ACTIVE,2022-07-04,2022-07-04,0.0,100.0000000000,0E-10,0E-10,0E-10,0.0,0.0,2.17,2.17
9KAPNF,1423,457,2022-02-22 09:45:58,ACTIVE,2024-10-15,2024-10-15,7500.0,7500.0000000000,7350.0000000000,0E-10,0E-10,8425.8,11064.91,162.43,8588.23
91W3G2,79,31,2025-10-28 09:03:08,ACTIVE,2025-12-10,2025-12-15,0.0,9000.0000000000,8976.8800000000,0E-10,0E-10,0.0,0.0,194.92,194.92
6PS0T8,2172,1771,2020-02-04 03:56:38,INACTIVE,2021-03-11,2021-03-11,250000.0,True,True,True,True,140601.8,207521.92,0.0,140601.8
69S2PH,198,150,2025-07-01 12:53:24,ACTIVE,2025-08-17,2025-08-18,0.0,5200.0000000000,5121.5000000000,0E-10,0E-10,0.0,0.0,112.62,112.62
649LS3,45,45,2025-12-01 00:00:00,ACTIVE,2025-12-01,2025-12-01,0.0,2000.0000000000,1000.0000000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
49MSM5,154,36,2025-08-14 00:00:00,ACTIVE,2025-08-14,2025-12-10,0.0,1400.0000000000,1382.2500000000,0E-10,550.0000000000,0.0,0.0,11.4,11.4
8G77GR,369,337,2025-01-11 06:04:18,ACTIVE,2025-01-12,2025-02-12,0.0,7500.0000000000,9500.0000000000,0E-10,0E-10,0.0,0.0,152.29,152.29
3E9DCI,1241,144,2022-08-23 09:09:08,ACTIVE,2023-12-21,2025-08-24,0.0,11044.2600000000,11010.7500000000,0E-10,3955.9200000000,0.0,0.0,16.95,16.95
34CVDF,177,131,2025-07-22 19:27:06,ACTIVE,2025-07-25,2025-09-06,0.0,2500.0000000000,2421.5000000000,0E-10,0E-10,0.0,0.0,36.92,36.92
654JZK,329,174,2025-02-20 10:31:30,ACTIVE,2025-05-25,2025-07-25,0.0,7029.4700000000,7032.2500000000,0E-10,2000.0000000000,0.0,0.0,99.87,99.87
6P683M,46,46,2025-11-30 00:00:00,ACTIVE,2025-11-30,2025-11-30,0.0,2000.0000000000,1000.0000000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
2Y30GA,3083,3083,2017-08-07 00:00:00,INACTIVE,2017-08-07,2017-08-07,24002.0,True,True,True,True,23830.93,31688.78,0.0,23830.93
8OO6HX,814,502,2023-10-24 10:42:20,ACTIVE,2024-03-27,2024-08-31,35000.0,42050.0000000000,41603.7500000000,0E-10,0E-10,3989.21,6777.34,172.92,4162.13
8SMBIB,1185,797,2022-10-18 00:00:00,ACTIVE,2022-10-18,2023-11-10,150000.0,176.1300000000,0E-10,0E-10,0E-10,43899.59,114244.1,0.29,43899.88
CMZDUA,4570,2654,2013-07-12 00:00:00,EXITED,2018-06-08,2018-10-10,500000.0,True,True,True,True,537336.54,650152.04,0.0,537336.54
DCHTNL,2459,2239,2019-04-23 18:22:07,INACTIVE,2019-04-26,2019-11-29,3500000.0,True,True,True,True,681887.23,1907943.04,0.0,681887.23
7XDA9R,3321,266,2016-12-12 14:13:35,ACTIVE,2025-04-12,2025-04-24,0.0,1000.0000000000,0E-10,1000.0000000000,0E-10,0.0,0.0,129.94,129.94
R64IEX,131,131,2025-09-06 00:00:00,ACTIVE,2025-09-06,2025-09-06,0.0,100.0000000000,0E-10,0E-10,0E-10,0.0,0.0,2.17,2.17
D8ZYCM,4684,4683,2013-03-20 00:00:00,INACTIVE,2013-03-21,2013-03-21,523250.0,True,True,True,True,16059.76,43947.52,0.0,16059.76
8T6RPY,2908,2255,2018-01-29 13:20:46,EXITED,2018-01-30,2019-11-13,610000.0,True,True,True,True,148567.89,325991.24,0.0,148567.89
341487,1010,1010,2023-04-11 00:00:00,ACTIVE,2023-04-11,2023-04-11,0.0,100.0000000000,100.0000000000,0E-10,0E-10,0.0,0.0,2.17,2.17
17S8LZ,1596,1596,2021-09-02 00:00:00,ACTIVE,2021-09-02,2021-09-02,0.0,100.0000000000,100.0000000000,0E-10,0E-10,0.0,0.0,2.17,2.17
84IYFW,322,313,2025-02-27 00:00:00,ACTIVE,2025-02-27,2025-03-08,0.0,200.0000000000,0E-10,200.0000000000,0E-10,0.0,0.0,25.99,25.99
9525NP,45,44,2025-12-01 00:00:00,ACTIVE,2025-12-01,2025-12-02,0.0,2000.0000000000,999.7500000000,1000.0000000000,0E-10,0.0,0.0,151.6,151.6
9MK8J0,1657,208,2021-07-03 12:06:28,ACTIVE,2025-06-20,2025-06-21,0.0,690.0000000000,686.5000000000,0E-10,0E-10,0.0,0.0,14.94,14.94
7R415K,2939,1234,2017-12-29 22:49:09,ACTIVE,2022-08-30,2022-08-30,0.0,200.0000000000,0E-10,0E-10,0E-10,0.0,0.0,4.33,4.33
9FD5JW,512,478,2024-08-21 14:23:41,ACTIVE,2024-09-23,2024-09-24,0.0,200.0000000000,200.0000000000,0E-10,0E-10,0.0,0.0,4.33,4.33
C3P58D,2337,783,2019-08-23 11:46:02,ACTIVE,2023-10-10,2023-11-24,0.0,78993.1500000000,77905.6900000000,1000.0000000000,26455.6900000000,0.0,0.0,1653.47,1653.47
6AXLLN,331,331,2025-02-18 00:00:00,ACTIVE,2025-02-18,2025-02-18,0.0,1000.0000000000,1000.0000000000,0E-10,0E-10,0.0,0.0,21.66,21.66
ECXPQG,1495,98,2021-12-12 00:12:08,ACTIVE,2025-10-09,2025-10-09,0.0,200.2000000000,100.0000000000,100.0000000000,100.0000000000,0.0,0.0,17.87,17.87
CE1HTS,2955,2950,2017-12-13 11:50:30,INACTIVE,2017-12-18,2017-12-18,120000.0,True,True,True,True,29648.41,62348.03,0.0,29648.41
APY0PY,3090,120,2017-07-31 09:17:08,ACTIVE,2017-12-11,2025-09-17,840000.0,91564.1500000000,91409.4500000000,0E-10,0E-10,586048.89,807891.76,20.96,586069.85
CVD698,1559,1282,2021-10-09 20:16:38,ACTIVE,2022-07-13,2022-07-13,0.0,2000.0000000000,0E-10,0E-10,0E-10,0.0,0.0,43.31,43.31
5416O0,2537,2534,2019-02-04 17:07:51,INACTIVE,2019-02-07,2019-02-07,135000.0,True,True,True,True,11488.43,44105.9,0.0,11488.43
6EC9KQ,725,692,2024-01-21 09:43:05,ACTIVE,2024-02-23,2024-02-23,0.0,50.0000000000,0E-10,0E-10,0E-10,0.0,0.0,1.08,1.08
7S68S1,2612,2611,2018-11-21 10:08:23,EXITED,2018-11-22,2018-11-22,160000.0,True,True,True,True,220308.13,293500.37,0.0,220308.13
A9CRE1,2534,2533,2019-02-07 09:20:21,INACTIVE,2019-02-08,2019-02-08,900000.0,True,True,True,True,305941.43,588734.01,0.0,305941.43
